ACTION,NAMES,ROLES,BIO,EVENT DAY,SPEAKING ON,SPEAKER TYPE,CONNECT,TAGS,GOOGLE DRIVE IMAGE LINK
New,Abubakar Suleiman,CEO at Sterling Bank Limited,"Abubakar Suleiman is a Nigerian banker, economist, and corporate leader, currently serving as the Managing Director/Chief Executive Officer of Sterling Bank Plc since April 2018. He is widely recognized for his transformative leadership, sustainability-driven initiatives, and commitment to positioning Sterling Bank as a forward-thinking financial institution.",Day 1,To Be Announced Closer to the Event ,Special Guest,Linked In - https://www.linkedin.com/in/abubakar-suleiman-62141010/?originalSubdomain=ng,"Banker
Economist
Corporate Leader
Sustainability Advocate",https://drive.google.com/file/d/1bR8ib8gLYCK4JxrK31s4KgWAS_iRN-YK/view?usp=drivesdk
New,Mr. Charles Odii,Director General/CEO Small & Medium Enterprises Development Agency of Nigeria,"Charles Odii is the Director General and Chief Executive Officer of the Small and Medium Enterprises Development Agency of Nigeria (SMEDAN). He is a distinguished author, entrepreneurship development expert, and small business advocate, recognized for his leadership in advancing Nigeria’s SME sector and empowering millions of entrepreneurs.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",Linked in - https://www.linkedin.com/in/charles-odii-b6b60321/?originalSubdomain=ng,"SME Leader
Entrepreneurship Advocate
Author
Public Service Innovator",https://drive.google.com/file/d/1lzt_0auibtILkXHkyQHA-EtbI7W2f13c/view?usp=drivesdk
New,Mr. Khalil Suleiman Halilu,EVC & CEO National Agency for Science and Engineering Infrastructure (NASENIHQ),"Khalil Suleiman Halilu is a Nigerian entrepreneur, technocrat, and the current Executive Vice Chairman/Chief Executive Officer of the National Agency for Science and Engineering Infrastructure (NASENI), appointed by President Bola Ahmed Tinubu in September 2023. He is recognized for his innovative leadership in technology, industrial development, and sustainability.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",Linked In - https://www.linkedin.com/in/kshalilu/?originalSubdomain=ng,"Technocrat
Entrepreneur
Innovation Leader
Sustainability Advocate",https://drive.google.com/file/d/1JUOv4rJ_QPXlN6HmYzenqdJqaX5UFe1L/view?usp=drivesdk
New,Barr. Oluwaseyi Afolabi Tinubu,"CEO/Chairman, Loatsad Promomedia and Co-Founder, Noella Foundation","Barr. Oluwaseyi Afolabi Tinubu is a Nigerian lawyer, entrepreneur, and philanthropist, best known as the co-founder and Chief Executive Officer of Loatsad Promomedia, one of Nigeria’s leading outdoor advertising companies. A member of the Nigerian Bar Association, he has built a reputation for combining legal expertise with business innovation and social impact.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",Linked In - https://www.linkedin.com/in/seyi-tinubu-442b7395/?originalSubdomain=ng,"Lawyer
Entrepreneur
Advertising Executive
Philanthropist",https://drive.google.com/file/d/18xfqaMd4u7h08K_t6DyzAHmjg3oSzX_P/view?usp=drivesdk
New,Prof. Ibrahim Adeyanju,Managing Director/ CEO at Galaxy Backbone,"Prof. Ibrahim Adeyanju is CEO of Galaxy Backbone, leading Nigeria’s digital transformation. He drives impact by expanding robust ICT infrastructure, enabling secure government services, and accelerating the growth of the nation’s digital economy.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/ibrahim-adeyanju-b78528a/?originalSubdomain=ng 
On X - https://x.com/IbrahimAdeyanju ","Digital Transformation Leadership
Government ICT Infrastructure
Secure Digital Services
National Digital Economy",https://drive.google.com/file/d/1JOlmZ72XbWDpFPcekYjKvKV23nN6YYjQ/view?usp=drivesdk
New,Mr. Olumbe Akinkugbe,Executive Director Digital Exploration & Technical Services at Galaxy Backbone,"Mr. Olumbe Akinkugbe is Executive Director at Galaxy Backbone, driving Nigeria’s digital transformation. He leads the deployment of advanced ICT infrastructure and solutions, enhancing national connectivity, secure digital services, and the growth of the country’s digital economy.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/olumbe-akinkugbe-77471227/?originalSubdomain=ng 
On IG - https://www.instagram.com/olumbe.akinkugbe/ 
On X - https://x.com/OlumbeAKinkugbe ","Advanced ICT Infrastructure
Digital Connectivity
Secure Government Systems
Technology Deployment",https://drive.google.com/file/d/1_SFKPErqbS40iNoYHCWRWZjZmvip_B2G/view?usp=drivesdk
New,Aare (Dr) Abisoye Ayoyinka Fagade (FIMC),Director General/CEO at NIihotour,"Aare (Dr) Abisoye Ayoyinka Fagade (FIMC) is the Director General/CEO of NIHOTOUR (Nigerian Institute for Hospitality and Tourism). He drives national impact by professionalizing the hospitality and tourism sector, developing skilled talent, and promoting industry standards that enhance Nigeria’s global competitiveness and sustainable tourism growth.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/aare-dr-abisoye-ayoyinka-fagade-fimc-3ab84a34/?originalSubdomain=ng 
On IG - https://www.instagram.com/saltofdworld/?hl=en","Hospitality & Tourism Leadership
Talent Development
Industry Standards & Certification
Sustainable Tourism Growth",https://drive.google.com/file/d/1nuRSRWhcESkQO16TZnGOp5VvYySF_9T3/view?usp=drivesdk
New,Dr. Olasupo Olusi,"CEO, Bank of Industry Limited ","Dr. Olasupo Olusi is the CEO of Bank of Industry (BOI), driving industrial and entrepreneurial growth in Nigeria. He accelerates access to finance for SMEs and large-scale projects, fostering economic diversification, job creation, and sustainable industrial development.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/olasupo-olusi/?originalSubdomain=ng 
On IG - https://www.instagram.com/dr.olasupoolusi/?hl=en","Industrial Development Finance
SME & Enterprise Growth
Economic Diversification
Job Creation Strategy",https://drive.google.com/file/d/1fJPVe9QfY9K_H7Brwr8HYKaAU7T6G6hd/view?usp=drivesdk
New,Mr. Abubakar A. Bello,Managing Director at Nigerian Export Import Bank (NEXIM),"Mr. Abubakar A. Bello is the Managing Director of the Nigerian Export-Import Bank (NEXIM), driving Nigeria’s non-oil export growth. He empowers exporters, unlocks trade financing, and strengthens global competitiveness to accelerate economic diversification and sustainable development.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",On LinkedIn - https://www.linkedin.com/in/abba-bello-9954364/?originalSubdomain=ng ,"Export Development Finance
Non-Oil Trade Growth
Trade & Investment Facilitation
Economic Diversification",https://drive.google.com/file/d/1aUD8BanJ6rytk9lbquCXvfIqKfo3cUtM/view?usp=drivesdk
New,Mr. Ayo Adeagbo,"Special Assistant to the President (Arts, Culture and the Creative Economy)","Mr. Ayo Adeagbo is the Special Assistant to the President on Arts, Culture, and the Creative Economy, driving Nigeria’s creative sectors as engines of economic growth. He shapes policy, attracts investment, and builds platforms that amplify talent, foster global partnerships, and position culture as a strategic economic asset.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/adeagbo-ayomide-oluwadunsin/?originalSubdomain=ng 
On X - https://x.com/Ayoxtreme 
On IG - https://www.instagram.com/ayo_xtreme/ ","Creative Economy Policy
Arts & Culture Development
Investment Mobilisation
Global Creative Partnerships",https://drive.google.com/file/d/1sLpoXZZk0AU6GSXSclRj_zzRIF4NoRbP/view?usp=drivesdk
New,Mr. Amu Ogbeide,"Governing Council Member at CIBN, 
Co-Founder & GCEO at Sapphital","Mr. Amu Ogbeide is a financial services leader, Governing Council member of the Chartered Institute of Bankers of Nigeria (CIBN), and Co‑Founder & GCEO of Sapphital. He drives transformative impact by advancing professional banking standards, promoting financial inclusion, and leveraging fintech innovation to expand investment access. His leadership strengthens Nigeria’s financial ecosystem, fostering sustainable growth, transparency, and global competitiveness.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/amu-ogbeide-a0838139/?originalSubdomain=ng 
On IG - https://www.instagram.com/amuogbeide/ ","Financial Services Leadership
Fintech & Investment Innovation
Financial Inclusion
Professional Banking Standards",https://drive.google.com/file/d/1sLpoXZZk0AU6GSXSclRj_zzRIF4NoRbP/view?usp=drivesdk
New,Mr. Ife Adebayo,"National Coordinator, iDICE Programme","Ife Adebayo is the National Coordinator of Nigeria’s Investment in Digital & Creative Enterprises (iDICE) Programme and a leading architect of the country’s tech and creative economy initiatives. He drives transformative impact by mobilizing investment, scaling youth-led startups, and fostering innovation across digital and creative sectors. His leadership positions Nigeria as a global hub for technology-driven entrepreneurship and sustainable economic growth.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/ife-adebayo/?originalSubdomain=ng
On X - https://x.com/IfeAdebayo","Startup & Innovation Ecosystems
Digital & Creative Investment
Youth-Led Entrepreneurship
Venture Scaling Strategy",https://drive.google.com/file/d/1vTJuWb5DQVkGga921IjmK9-pW6bvykM3/view?usp=drivesdk
New,Hon. Wale Edun ,Federal Minister of Finance & Coordinating Minister of the Economy,"Hon. Wale Edun is Nigeria’s Federal Minister of Finance and Coordinating Minister of the Economy, a seasoned economist and investment banker with decades of global and domestic finance experience. He drives transformative economic impact by leading fiscal reforms, stabilizing macroeconomic conditions, and strengthening investor confidence to unlock sustainable growth. His strategic leadership positions Nigeria as a resilient, globally competitive economy with robust private sector participation.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",LinkedIn - https://www.linkedin.com/in/wale-edun-5440762ab/?originalSubdomain=ng ,"Fiscal & Economic Reform
Macroeconomic Stability
Investment & Capital Markets
National Economic Strategy",https://drive.google.com/file/d/17dQ-SJ0LhLlcYrxv7-WJSW9fhi3nKSNu/view?usp=drivesdk
New,Dr. Doris Uzoka-Anite,Honourable Minister of State for Finance,"Dr. Doris Uzoka‑Anite, MFR is Nigeria’s Honourable Minister of State for Finance and a distinguished leader in public finance and economic policy. She drives transformative impact by modernizing fiscal frameworks, attracting strategic investments, and strengthening capital markets to accelerate sustainable economic growth. Her leadership combines visionary policy execution with financial innovation, positioning Nigeria as a competitive and resilient economy on the global stage.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","LinkedIn - https://www.linkedin.com/in/dorisanite/?originalSubdomain=ng 
On IG - https://www.instagram.com/drdorisanite/?hl=en ","Public Finance Leadership
Investment & Capital Markets
Fiscal Policy Modernisation
Economic Growth Strategy",https://drive.google.com/file/d/1VdBGbP9Ss29sBpRDVo03nnpnjdneTdZM/view?usp=drivesdk
New,Hon. Ayodele Olawande,Minister for Youth Development,"Hon. Ayodele Olawande is Nigeria’s Minister for Youth Development and a transformative leader in youth empowerment and policy innovation. He drives national impact by creating scalable opportunities in education, entrepreneurship, and digital skills, while strengthening youth engagement in governance. His leadership positions Nigeria’s young population as a key engine for innovation, economic growth, and societal transformation.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","Website - https://ayoolawande.com/about 
On X - https://x.com/ayowisdom_?lang=en 
On IG - https://www.instagram.com/ayowisdom_/?hl=en","Youth Empowerment Policy
Education & Skills Development
Youth Entrepreneurship
Inclusive Governance",https://drive.google.com/file/d/1TJLnCCb-dj3AlFeUpiwcAtRLnQK8ElRJ/view?usp=drivesdk
New,HM Olatunbosun Tijani,"Minister of Communications, Innovation & Digital Economy","HM Olatunbosun “Bosun” Tijani is a Nigerian-British entrepreneur and public servant, currently serving as Nigeria’s Honourable Minister of Communications, Innovation & Digital Economy. He leads national efforts in digital transformation, broadband expansion, and innovation, positioning technology as a core driver of economic growth. Prior to his ministerial appointment in August 2023, he co-founded Co-Creation Hub (CcHUB), Africa’s leading innovation centre, which expanded across Nigeria, Kenya, and Rwanda, strengthening collaboration and innovation across the continent.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/dr-%E2%80%98bosun-tijani-1b027b/?originalSubdomain=ng 
On IG - 
On x - https://x.com/bosuntijani ","Digital Economy Leadership
Innovation & Startup Ecosystems
Broadband & Digital Infrastructure
Public Servant
Technology-Driven Growth",https://drive.google.com/file/d/1dcZXA5zzbN2fDKi4P83C1TnCw6QALUbx/view?usp=drivesdk
New,Mr. Olanipekun Olukoyede,"Executive Chairman, EFCC","Mr. Olanipekun Olukoyede is the Executive Chairman of Nigeria’s Economic and Financial Crimes Commission (EFCC) and a seasoned lawyer and fraud management expert. He leads the national fight against corruption, financial crimes, and economic sabotage, driving stronger enforcement, asset recovery, and institutional accountability.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker","On LinkedIn - https://www.linkedin.com/in/olaolukoyedeofficial/ 
On X - https://x.com/OlaOlukoyede_ 
On Facebook - https://web.facebook.com/OlaOlukoyedeOfficial?_rdc=1&_rdr# ","Anti-Corruption Leadership
Financial Crimes Enforcement
Asset Recovery
Institutional Accountability",https://drive.google.com/file/d/1EKnyoxOeH85Urg_ZZ8RImZr-sGhZO4cT/view?usp=drivesdk
New,"Mr. Kashifu Inuwa Abdullahi, CCIE",Chief Information Technology Officer of Nigeria,"Mr. Kashifu Inuwa Abdullahi, CCIE is a Nigerian technology executive and Director-General/CEO of the National Information Technology Development Agency (NITDA). He drives national impact by leading Nigeria’s digital transformation agenda, strengthening cybersecurity and data protection, and scaling digital skills development to accelerate economic growth and innovation.",Day 1,To Be Announced Closer to the Event ,"Special Guest, Speaker",On LinkedIn - https://www.linkedin.com/in/kashifu-inuwa-abdullahi-ccie-8a671544/ ,"National Digital Transformation
Cybersecurity & Data Protection
Digital Skills Development
Technology Policy & Regulation",https://drive.google.com/file/d/1fUA5ICM8mJN6r2UELuhqR3AYIP43rt9s/view?usp=drivesdk
